id,chart_template_id/id,code,user_type_id/id,name,reconcile,group_id/id
etl_companion.base_cheques_de_terceros,etl_companion.l10nar_base_chart_template,1.1.1.02.010,account.data_account_type_liquidity,Cheques de Terceros [de la migracion].,False,etl_companion.account_group_bancos
etl_companion.base_cheques_de_terceros_rechazados,etl_companion.l10nar_base_chart_template,1.1.1.02.020,account.data_account_type_current_assets,Cheques de Terceros Rechazados,False,etl_companion.account_group_bancos
etl_companion.base_fondo_comun_de_inversion,etl_companion.l10nar_base_chart_template,1.1.2.01.010,account.data_account_type_current_assets,Fondo común de inversión,False,etl_companion.account_group_inversiones
etl_companion.base_plazo_fijo,etl_companion.l10nar_base_chart_template,1.1.2.01.020,account.data_account_type_current_assets,Plazo fijo,False,etl_companion.account_group_inversiones
etl_companion.base_deudores_por_ventas,etl_companion.l10nar_base_chart_template,1.1.3.01.010,account.data_account_type_receivable,Deudores por ventas,True,etl_companion.account_group_creditos_por_ventas
etl_companion.base_deudores_por_ventas_pos,etl_companion.l10nar_base_chart_template,1.1.3.01.020,account.data_account_type_receivable,Deudores por ventas (PoS),True,etl_companion.account_group_creditos_por_ventas
etl_companion.base_ret_percepcion_tasa_municipal,etl_companion.l10nar_base_chart_template,1.1.4.01.010,account.data_account_type_current_assets,Ret/Percepción Tasa Municipal,False,etl_companion.account_group_creditos_fiscales_municipales
etl_companion.base_saldo_a_favor_tasa_municipal,etl_companion.l10nar_base_chart_template,1.1.4.01.020,account.data_account_type_current_assets,Saldo a favor Tasa Municipal,False,etl_companion.account_group_creditos_fiscales_municipales
etl_companion.base_saldo_favor_iibb_sf,etl_companion.l10nar_base_chart_template,1.1.4.02.010,account.data_account_type_current_assets,Saldo a favor IIBB p. Santa Fé,False,etl_companion.account_group_creditos_fiscales_iibb
etl_companion.base_retencion_iibb_sf_sufrida,etl_companion.l10nar_base_chart_template,1.1.4.02.020,account.data_account_type_current_assets,Retención IIBB p. Santa Fé sufrida,False,etl_companion.account_group_creditos_fiscales_iibb
etl_companion.base_percepcion_iibb_sf_sufrida,etl_companion.l10nar_base_chart_template,1.1.4.02.030,account.data_account_type_current_assets,Percepción IIBB p. Santa Fé sufrida,False,etl_companion.account_group_creditos_fiscales_iibb
etl_companion.base_saldo_favor_iibb_co,etl_companion.l10nar_base_chart_template,1.1.4.02.040,account.data_account_type_current_assets,Saldo a favor IIBB p. Córdoba,False,etl_companion.account_group_creditos_fiscales_iibb
etl_companion.base_retencion_iibb_co_sufrida,etl_companion.l10nar_base_chart_template,1.1.4.02.050,account.data_account_type_current_assets,Retención IIBB p. Córdoba sufrida,False,etl_companion.account_group_creditos_fiscales_iibb
etl_companion.base_percepcion_iibb_co_sufrida,etl_companion.l10nar_base_chart_template,1.1.4.02.060,account.data_account_type_current_assets,Percepción IIBB p. Córdoba sufrida,False,etl_companion.account_group_creditos_fiscales_iibb
etl_companion.base_saldo_favor_iibb_ba,etl_companion.l10nar_base_chart_template,1.1.4.02.070,account.data_account_type_current_assets,Saldo a favor IIBB p. Buenos Aires,False,etl_companion.account_group_creditos_fiscales_iibb
etl_companion.base_retencion_iibb_ba_sufrida,etl_companion.l10nar_base_chart_template,1.1.4.02.080,account.data_account_type_current_assets,Retención IIBB p. Buenos Aires sufrida,False,etl_companion.account_group_creditos_fiscales_iibb
etl_companion.base_percepcion_iibb_ba_sufrida,etl_companion.l10nar_base_chart_template,1.1.4.02.090,account.data_account_type_current_assets,Percepción IIBB p. Buenos Aires sufrida,False,etl_companion.account_group_creditos_fiscales_iibb
etl_companion.base_saldo_favor_iibb_caba,etl_companion.l10nar_base_chart_template,1.1.4.02.100,account.data_account_type_current_assets,Saldo a favor IIBB p. CABA,False,etl_companion.account_group_creditos_fiscales_iibb
etl_companion.base_retencion_iibb_caba_sufrida,etl_companion.l10nar_base_chart_template,1.1.4.02.110,account.data_account_type_current_assets,Retención IIBB CABA sufrida,False,etl_companion.account_group_creditos_fiscales_iibb
etl_companion.base_percepcion_iibb_caba_sufrida,etl_companion.l10nar_base_chart_template,1.1.4.02.120,account.data_account_type_current_assets,Percepción IIBB CABA sufrida,False,etl_companion.account_group_creditos_fiscales_iibb
etl_companion.base_sircreb,etl_companion.l10nar_base_chart_template,1.1.4.02.130,account.data_account_type_current_assets,SIRCREB,False,etl_companion.account_group_creditos_fiscales_iibb
etl_companion.base_saldo_a_favor_suss,etl_companion.l10nar_base_chart_template,1.1.4.03.010,account.data_account_type_current_assets,Saldo a favor SUSS,False,etl_companion.account_group_creditos_fiscales_suss
etl_companion.base_retencion_suss_sufrida,etl_companion.l10nar_base_chart_template,1.1.4.03.020,account.data_account_type_current_assets,Retención SUSS Sufrida,False,etl_companion.account_group_creditos_fiscales_suss
etl_companion.ri_iva_credito_fiscal,etl_companion.l10nar_ri_chart_template,1.1.4.04.010,account.data_account_type_current_assets,IVA crédito fiscal,False,etl_companion.account_group_creditos_fiscales_iva
etl_companion.ri_percepcion_iva_sufrida,etl_companion.l10nar_ri_chart_template,1.1.4.04.020,account.data_account_type_current_assets,Percepción IVA Sufrida,False,etl_companion.account_group_creditos_fiscales_iva
etl_companion.ri_retencion_iva_sufrida,etl_companion.l10nar_ri_chart_template,1.1.4.04.030,account.data_account_type_current_assets,Retención IVA Sufrida,False,etl_companion.account_group_creditos_fiscales_iva
etl_companion.ri_iva_saldo_tecnico_favor,etl_companion.l10nar_ri_chart_template,1.1.4.04.040,account.data_account_type_current_assets,IVA Saldo técnico,False,etl_companion.account_group_creditos_fiscales_iva
etl_companion.ri_iva_saldo_libre_disponibilidad,etl_companion.l10nar_ri_chart_template,1.1.4.04.050,account.data_account_type_current_assets,IVA Saldo Libre Disponibilidad,False,etl_companion.account_group_creditos_fiscales_iva
etl_companion.base_anticipo_ganancias,etl_companion.l10nar_ex_chart_template,1.1.4.05.010,account.data_account_type_current_assets,Anticipo ganancias,False,etl_companion.account_group_creditos_fiscales_ganancias
etl_companion.base_percepcion_ganancias_sufrida,etl_companion.l10nar_ex_chart_template,1.1.4.05.020,account.data_account_type_current_assets,Percepciones de Ganancias Sufridas,False,etl_companion.account_group_creditos_fiscales_ganancias
etl_companion.base_retencion_ganancias_sufrida,etl_companion.l10nar_ex_chart_template,1.1.4.05.030,account.data_account_type_current_assets,Retenciones de Ganancias Sufridas,False,etl_companion.account_group_creditos_fiscales_ganancias
etl_companion.base_saldo_favor_ganancias,etl_companion.l10nar_ex_chart_template,1.1.4.05.040,account.data_account_type_current_assets,Saldo a favor Ganancias,False,etl_companion.account_group_creditos_fiscales_ganancias
etl_companion.base_imp_debitos_computables,etl_companion.l10nar_base_chart_template,1.1.4.05.050,account.data_account_type_current_assets,Impuesto a los Débitos Computables,False,etl_companion.account_group_creditos_fiscales_ganancias
etl_companion.base_otros_creditos,etl_companion.l10nar_base_chart_template,1.1.5.01.010,account.data_account_type_receivable,Deudores Varios,True,etl_companion.account_group_otros_creditos
etl_companion.base_materia_prima,etl_companion.l10nar_base_chart_template,1.1.6.01.010,account.data_account_type_current_assets,Materia Prima,False,etl_companion.account_group_bienes_de_cambio
etl_companion.base_productos_en_proceso,etl_companion.l10nar_base_chart_template,1.1.6.01.020,account.data_account_type_current_assets,Productos en proceso,False,etl_companion.account_group_bienes_de_cambio
etl_companion.base_productos_terminados,etl_companion.l10nar_base_chart_template,1.1.6.01.030,account.data_account_type_current_assets,Productos terminados,False,etl_companion.account_group_bienes_de_cambio
etl_companion.base_mercaderia_reventa,etl_companion.l10nar_base_chart_template,1.1.6.01.040,account.data_account_type_current_assets,Mercaderia de reventa,False,etl_companion.account_group_bienes_de_cambio
etl_companion.base_anticipo_proveedores,etl_companion.l10nar_base_chart_template,1.1.6.01.050,account.data_account_type_current_assets,Anticipo a Proveedores,False,etl_companion.account_group_bienes_de_cambio
etl_companion.base_instalaciones,etl_companion.l10nar_base_chart_template,1.2.1.01.010,account.data_account_type_fixed_assets,Instalaciones,False,etl_companion.account_group_instalaciones
etl_companion.base_amortizacion_acumulada_instalaciones,etl_companion.l10nar_base_chart_template,1.2.1.01.020,account.data_account_type_depreciation,Amortización acumulada instalaciones,False,etl_companion.account_group_instalaciones
